#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  58000      3.56e+00    1.52e+00      3.45e-02    4.27e-03      1.20e-01    5.11e-02    8.8e-04
  59000      3.91e+00    1.82e+00      4.36e-02    6.40e-02      1.31e-01    6.08e-02    8.8e-04
  60000      7.28e-01    1.34e+00      1.97e-02    1.24e-02      2.45e-02    4.52e-02    8.7e-04
  61000      6.15e-01    8.51e-01      1.05e-02    1.54e-02      2.08e-02    2.88e-02    8.7e-04
  62000      2.35e+00    9.45e-01      2.10e-02    1.32e-03      7.96e-02    3.20e-02    8.7e-04
  63000      8.21e-01    1.33e+00      5.06e-02    5.85e-02      2.70e-02    4.44e-02    8.7e-04
  64000      1.43e+00    8.72e-01      3.74e-02    1.56e-02      4.84e-02    2.95e-02    8.7e-04
  65000      8.55e-01    7.72e-01      6.37e-02    3.81e-02      2.77e-02    2.58e-02    8.6e-04
  66000      5.80e-01    1.10e+00      8.06e-02    1.52e-02      1.62e-02    3.73e-02    8.6e-04
  67000      1.16e+00    1.15e+00      7.23e-02    6.00e-03      3.83e-02    3.91e-02    8.6e-04
  68000      1.53e+00    1.40e+00      3.15e-02    1.74e-02      5.18e-02    4.77e-02    8.6e-04
  69000      1.25e+00    7.85e-01      8.37e-02    4.05e-02      4.11e-02    2.62e-02    8.6e-04
  70000      7.20e-01    1.61e+00      5.60e-02    4.43e-02      2.33e-02    5.48e-02    8.5e-04
  71000      6.78e-01    1.29e+00      3.78e-02    4.20e-02      2.26e-02    4.38e-02    8.5e-04
  72000      1.10e+00    9.35e-01      1.79e-02    1.33e-02      3.76e-02    3.20e-02    8.5e-04
  73000      1.99e+00    6.65e-01      1.52e-03    5.37e-03      6.81e-02    2.28e-02    8.5e-04
  74000      1.67e+00    1.33e+00      4.89e-02    7.60e-03      5.67e-02    4.55e-02    8.5e-04
  75000      9.35e-01    1.10e+00      3.70e-02    1.12e-02      3.17e-02    3.79e-02    8.4e-04
  76000      6.30e-01    1.79e+00      1.57e-02    1.14e-02      2.16e-02    6.18e-02    8.4e-04
  77000      1.15e+00    1.57e+00      2.70e-02    9.94e-03      3.95e-02    5.40e-02    8.4e-04
  78000      7.08e-01    7.52e-01      2.73e-02    3.11e-02      2.41e-02    2.55e-02    8.4e-04
  79000      1.09e+00    1.20e+00      1.26e-02    3.64e-02      3.76e-02    4.10e-02    8.4e-04
  80000      8.69e-01    7.22e-01      5.70e-02    1.35e-02      2.88e-02    2.49e-02    8.3e-04
  81000      3.24e+00    2.60e+00      7.13e-02    3.93e-03      1.12e-01    9.01e-02    8.3e-04
  82000      1.26e+00    8.58e-01      8.50e-03    2.49e-02      4.36e-02    2.95e-02    8.3e-04
  83000      1.71e+00    3.13e+00      5.92e-03    1.62e-02      5.94e-02    1.09e-01    8.3e-04
  84000      7.11e-01    9.23e-01      4.28e-02    5.90e-02      2.38e-02    3.07e-02    8.3e-04
  85000      5.34e-01    1.80e+00      1.39e-02    4.60e-02      1.85e-02    6.22e-02    8.2e-04
  86000      9.86e-01    1.48e+00      2.41e-02    2.84e-02      3.42e-02    5.15e-02    8.2e-04
  87000      1.10e+00    1.28e+00      1.29e-02    5.12e-03      3.83e-02    4.45e-02    8.2e-04
  88000      7.27e-01    2.46e+00      1.03e-02    2.08e-02      2.53e-02    8.58e-02    8.2e-04
  89000      7.66e-01    1.51e+00      3.84e-02    1.14e-02      2.60e-02    5.26e-02    8.2e-04
  90000      1.23e+00    1.05e+00      1.62e-03    2.83e-03      4.30e-02    3.68e-02    8.1e-04
  91000      1.02e+00    9.60e-01      4.40e-02    2.84e-02      3.52e-02    3.34e-02    8.1e-04
  92000      1.09e+00    8.89e-01      3.89e-02    3.33e-02      3.78e-02    3.07e-02    8.1e-04
  93000      1.09e+00    7.89e-01      4.34e-03    1.49e-02      3.81e-02    2.76e-02    8.1e-04
  94000      2.04e+00    9.83e-01      2.64e-03    2.89e-02      7.14e-02    3.41e-02    8.1e-04
  95000      1.39e+00    1.22e+00      2.31e-02    7.82e-03      4.90e-02    4.32e-02    8.0e-04
  96000      1.36e+00    1.59e+00      5.62e-02    2.76e-02      4.70e-02    5.60e-02    8.0e-04
  97000      1.28e+00    1.01e+00      5.00e-03    2.34e-02      4.52e-02    3.53e-02    8.0e-04
  98000      1.03e+00    1.31e+00      2.22e-02    3.73e-02      3.62e-02    4.57e-02    8.0e-04
  99000      6.80e-01    1.46e+00      2.89e-02    2.58e-02      2.35e-02    5.13e-02    8.0e-04
 100000      2.16e+00    1.23e+00      8.60e-02    3.73e-02      7.50e-02    4.31e-02    7.9e-04
 101000      1.03e+00    1.14e+00      1.48e-02    6.47e-03      3.63e-02    4.06e-02    7.9e-04
 102000      3.50e-01    9.31e-01      7.74e-03    2.36e-02      1.23e-02    3.28e-02    7.9e-04
 103000      8.56e-01    7.36e-01      5.33e-03    2.33e-03      3.03e-02    2.61e-02    7.9e-04
 104000      7.45e-01    1.63e+00      2.19e-02    4.07e-03      2.62e-02    5.79e-02    7.9e-04
 105000      1.28e+00    2.28e+00      1.05e-02    4.29e-02      4.56e-02    8.08e-02    7.9e-04
 106000      1.57e+00    1.31e+00      2.62e-02    3.86e-02      5.58e-02    4.61e-02    7.9e-04
 107000      9.22e-01    5.99e-01      6.08e-02    7.14e-03      3.11e-02    2.13e-02    7.9e-04
 108000      6.90e-01    1.40e+00      4.50e-02    3.11e-02      2.33e-02    4.97e-02    7.9e-04
 109000      6.03e-01    1.14e+00      3.04e-02    5.19e-03      2.08e-02    4.08e-02    7.9e-04
 110000      6.81e-01    8.78e-01      3.24e-02    3.33e-02      2.37e-02    3.09e-02    7.8e-04
 111000      1.80e+00    1.36e+00      2.27e-02    5.92e-03      6.46e-02    4.88e-02    7.8e-04
 112000      4.32e-01    1.10e+00      7.25e-03    2.21e-02      1.54e-02    3.93e-02    7.8e-04
 113000      4.35e+00    2.08e+00      1.14e-01    1.14e-01      1.55e-01    7.18e-02    7.8e-04
 114000      1.03e+00    2.76e+00      3.18e-02    4.33e-02      3.64e-02    9.89e-02    7.8e-04
 115000      1.37e+00    8.01e-01      4.17e-03    7.59e-03      4.93e-02    2.89e-02    7.7e-04
 116000      1.40e+00    7.89e-01      6.39e-02    2.12e-02      4.92e-02    2.82e-02    7.7e-04
 117000      5.00e-01    8.33e-01      4.61e-03    2.25e-02      1.80e-02    2.98e-02    7.7e-04
 118000      1.58e+00    1.35e+00      6.59e-02    2.34e-04      5.56e-02    4.87e-02    7.7e-04
 119000      9.25e-01    8.79e-01      3.70e-03    2.76e-02      3.34e-02    3.13e-02    7.7e-04
 120000      5.70e-01    1.56e+00      2.24e-02    1.84e-02      2.02e-02    5.66e-02    7.6e-04
 121000      6.17e-01    5.06e-01      1.33e-02    1.28e-02      2.22e-02    1.82e-02    7.6e-04
 122000      1.10e+00    1.55e+00      1.77e-04    5.70e-03      4.00e-02    5.62e-02    7.6e-04
 123000      1.62e+00    9.30e-01      2.26e-02    8.75e-03      5.85e-02    3.37e-02    7.6e-04
 124000      5.93e-01    6.51e-01      1.36e-02    2.43e-02      2.14e-02    2.32e-02    7.6e-04
 125000      8.77e-01    1.28e+00      7.49e-03    1.32e-03      3.20e-02    4.66e-02    7.5e-04
 126000      8.00e-01    6.64e-01      2.69e-03    1.19e-02      2.92e-02    2.41e-02    7.5e-04
 127000      1.58e+00    2.62e+00      1.70e-02    6.04e-04      5.78e-02    9.57e-02    7.5e-04
 128000      3.27e+00    8.80e-01      1.01e-02    6.54e-03      1.19e-01    3.21e-02    7.5e-04
 129000      1.50e+00    1.08e+00      3.71e-03    4.66e-02      5.48e-02    3.83e-02    7.5e-04
 130000      1.49e+00    5.76e-01      2.72e-02    5.39e-02      5.45e-02    1.82e-02    7.4e-04
 131000      1.32e+00    8.47e-01      1.19e-02    3.60e-02      4.83e-02    3.03e-02    7.4e-04
 132000      1.35e+00    1.03e+00      2.34e-02    3.27e-02      4.92e-02    3.73e-02    7.4e-04
 133000      1.85e+00    9.98e-01      1.97e-03    2.85e-03      6.78e-02    3.66e-02    7.4e-04
 134000      7.55e-01    6.13e-01      2.47e-02    1.70e-02      2.73e-02    2.23e-02    7.4e-04
 135000      1.16e+00    1.33e+00      1.91e-02    4.03e-02      4.25e-02    4.84e-02    7.3e-04
 136000      1.18e+00    8.03e-01      5.06e-03    7.10e-03      4.37e-02    2.96e-02    7.3e-04
 137000      6.55e-01    9.22e-01      4.30e-03    3.03e-03      2.42e-02    3.41e-02    7.3e-04
 138000      7.62e-01    9.50e-01      3.55e-02    3.18e-02      2.72e-02    3.45e-02    7.3e-04
 139000      3.20e+00    8.91e-01      6.54e-03    7.22e-03      1.18e-01    3.29e-02    7.3e-04
 140000      1.75e+00    1.58e+00      2.21e-03    1.39e-02      6.48e-02    5.87e-02    7.2e-04
 141000      1.56e+00    1.74e+00      1.32e-03    1.27e-02      5.79e-02    6.45e-02    7.2e-04
 142000      1.36e+00    1.16e+00      3.93e-02    1.43e-02      4.98e-02    4.30e-02    7.2e-04
 143000      1.69e+00    1.41e+00      1.97e-03    5.96e-02      6.26e-02    5.10e-02    7.2e-04
 144000      9.58e-01    1.05e+00      4.47e-02    1.31e-02      3.44e-02    3.90e-02    7.2e-04
 145000      1.73e+00    7.50e-01      1.04e-02    3.84e-03      6.45e-02    2.80e-02    7.2e-04
 146000      6.84e-01    1.21e+00      1.87e-02    9.86e-04      2.52e-02    4.52e-02    7.2e-04
 147000      9.73e-01    1.33e+00      1.39e-02    8.14e-03      3.62e-02    4.95e-02    7.2e-04
 148000      1.61e+00    5.72e-01      5.22e-02    3.22e-02      5.91e-02    2.03e-02    7.2e-04
 149000      2.01e+00    1.44e+00      1.14e-01    5.05e-02      7.13e-02    5.29e-02    7.2e-04
 150000      1.69e+00    1.06e+00      1.65e-02    2.11e-02      6.36e-02    3.95e-02    7.1e-04
 151000      1.56e+00    1.29e+00      5.62e-03    1.06e-02      5.88e-02    4.86e-02    7.1e-04
 152000      9.11e-01    6.53e-01      8.92e-03    3.83e-02      3.42e-02    2.31e-02    7.1e-04
 153000      1.10e+00    9.53e-01      1.07e-02    3.49e-03      4.11e-02    3.58e-02    7.1e-04
 154000      5.83e-01    1.30e+00      1.99e-02    2.03e-02      2.15e-02    4.87e-02    7.1e-04
 155000      1.52e+00    1.13e+00      1.20e-02    1.06e-02      5.75e-02    4.26e-02    7.0e-04
 156000      9.22e-01    7.81e-01      3.21e-04    3.86e-02      3.49e-02    2.83e-02    7.0e-04
 157000      1.27e+00    8.48e-01      1.03e-02    1.72e-02      4.79e-02    3.18e-02    7.0e-04
 158000      1.08e+00    1.18e+00      1.10e-02    2.80e-02      4.07e-02    4.43e-02    7.0e-04
 159000      1.06e+00    6.39e-01      5.48e-02    4.55e-02      3.83e-02    2.20e-02    7.0e-04
 160000      4.21e+00    9.82e-01      6.00e-03    6.60e-03      1.60e-01    3.73e-02    6.9e-04
 161000      1.06e+00    1.28e+00      9.71e-03    1.19e-02      4.01e-02    4.87e-02    6.9e-04
 162000      6.40e-01    1.03e+00      2.50e-02    2.04e-02      2.37e-02    3.87e-02    6.9e-04
 163000      1.33e+00    9.21e-01      3.41e-02    3.16e-03      5.00e-02    3.50e-02    6.9e-04
 164000      1.64e+00    7.07e-01      9.81e-03    6.23e-03      6.24e-02    2.68e-02    6.9e-04
 165000      1.02e+00    1.18e+00      2.39e-02    2.60e-02      3.87e-02    4.48e-02    6.8e-04
 166000      1.17e+00    4.74e-01      8.22e-03    1.02e-02      4.48e-02    1.80e-02    6.8e-04
 167000      1.30e+00    6.53e-01      2.49e-02    1.07e-02      4.92e-02    2.49e-02    6.8e-04
 168000      5.03e-01    1.40e+00      8.97e-03    1.43e-02      1.91e-02    5.33e-02    6.8e-04
 169000      1.37e+00    8.43e-01      5.00e-02    1.03e-02      5.12e-02    3.21e-02    6.8e-04
 170000      9.32e-01    1.08e+00      6.85e-03    1.44e-02      3.58e-02    4.13e-02    6.8e-04
 171000      1.26e+00    1.27e+00      5.95e-02    1.19e-03      4.65e-02    4.87e-02    6.8e-04
 172000      6.38e-01    2.06e+00      1.17e-02    2.31e-02      2.44e-02    7.88e-02    6.8e-04
 173000      9.29e-01    1.23e+00      1.20e-02    1.39e-02      3.56e-02    4.71e-02    6.8e-04
 174000      8.28e-01    8.70e-01      1.13e-02    8.13e-03      3.17e-02    3.34e-02    6.8e-04
 175000      7.86e-01    1.01e+00      8.00e-03    2.24e-03      3.03e-02    3.90e-02    6.7e-04
 176000      8.90e-01    1.01e+00      3.49e-03    1.66e-02      3.44e-02    3.90e-02    6.7e-04
 177000      9.71e-01    9.41e-01      2.92e-02    4.64e-02      3.69e-02    3.47e-02    6.7e-04
 178000      1.83e+00    4.87e-01      1.88e-02    3.50e-02      7.07e-02    1.69e-02    6.7e-04
 179000      1.27e+00    1.77e+00      9.88e-03    4.94e-05      4.92e-02    6.84e-02    6.7e-04
 180000      2.92e+00    1.20e+00      2.95e-02    3.12e-02      1.13e-01    4.59e-02    6.6e-04
 181000      1.03e+00    1.10e+00      1.71e-02    1.52e-03      3.98e-02    4.28e-02    6.6e-04
 182000      1.01e+00    1.10e+00      1.43e-02    2.14e-02      3.91e-02    4.23e-02    6.6e-04
 183000      2.03e+00    5.38e-01      7.09e-02    4.20e-02      7.70e-02    1.83e-02    6.6e-04
 184000      7.10e-01    7.51e-01      3.63e-03    2.52e-03      2.76e-02    2.92e-02    6.6e-04
 185000      7.07e-01    7.04e-01      1.60e-02    7.47e-03      2.74e-02    2.75e-02    6.5e-04
 186000      6.22e-01    6.62e-01      1.71e-02    4.01e-03      2.40e-02    2.59e-02    6.5e-04
 187000      9.52e-01    8.15e-01      2.73e-02    1.87e-02      3.66e-02    3.16e-02    6.5e-04
 188000      9.77e-01    1.30e+00      1.93e-02    3.55e-02      3.79e-02    5.01e-02    6.5e-04
 189000      9.33e-01    1.17e+00      1.47e-02    1.71e-02      3.63e-02    4.56e-02    6.5e-04
 190000      1.71e+00    7.57e-01      5.77e-03    3.73e-02      6.72e-02    2.83e-02    6.5e-04
 191000      7.97e-01    8.15e-01      6.28e-03    3.00e-03      3.13e-02    3.21e-02    6.5e-04
 192000      1.59e+00    1.41e+00      2.93e-02    1.57e-02      6.22e-02    5.55e-02    6.5e-04
 193000      4.61e-01    5.37e-01      2.26e-03    1.07e-02      1.81e-02    2.09e-02    6.5e-04
 194000      6.84e-01    7.86e-01      1.31e-02    1.77e-02      2.67e-02    3.06e-02    6.5e-04
 195000      6.88e-01    1.19e+00      2.85e-03    1.74e-03      2.72e-02    4.72e-02    6.4e-04
 196000      1.85e+00    1.57e+00      3.52e-02    7.00e-03      7.26e-02    6.20e-02    6.4e-04
 197000      9.35e-01    1.19e+00      3.52e-02    2.59e-02      3.59e-02    4.67e-02    6.4e-04
 198000      8.93e-01    1.22e+00      3.41e-02    4.46e-02      3.43e-02    4.68e-02    6.4e-04
 199000      1.57e+00    6.82e-01      9.29e-02    2.98e-02      5.77e-02    2.59e-02    6.4e-04
 200000      9.99e-01    1.21e+00      1.44e-02    5.58e-04      3.96e-02    4.80e-02    6.3e-04
 201000      9.54e-01    9.68e-01      2.54e-02    8.32e-03      3.74e-02    3.85e-02    6.3e-04
 202000      1.34e+00    6.02e-01      1.20e-02    1.39e-02      5.30e-02    2.37e-02    6.3e-04
 203000      5.76e-01    6.81e-01      2.40e-03    1.86e-02      2.29e-02    2.67e-02    6.3e-04
 204000      1.45e+00    1.11e+00      2.65e-02    1.17e-02      5.75e-02    4.41e-02    6.3e-04
 205000      8.05e-01    8.80e-01      3.09e-02    2.59e-02      3.12e-02    3.46e-02    6.2e-04
 206000      6.23e-01    8.40e-01      6.33e-03    2.58e-04      2.49e-02    3.36e-02    6.2e-04
 207000      5.63e-01    8.89e-01      6.34e-03    6.11e-03      2.25e-02    3.56e-02    6.2e-04
 208000      1.47e+00    8.76e-01      7.12e-04    2.28e-02      5.87e-02    3.46e-02    6.2e-04
 209000      1.14e+00    1.23e+00      9.76e-03    3.54e-02      4.54e-02    4.82e-02    6.2e-04
 210000      1.46e+00    1.05e+00      3.17e-03    7.98e-02      5.90e-02    3.67e-02    6.2e-04
 211000      7.15e-01    1.62e+00      1.02e-02    2.69e-02      2.87e-02    6.47e-02    6.2e-04
 212000      1.29e+00    6.68e-01      1.57e-02    3.70e-03      5.19e-02    2.69e-02    6.2e-04
 213000      2.85e+00    4.99e-01      1.94e-02    6.66e-03      1.15e-01    2.00e-02    6.2e-04
 214000      1.00e+00    1.05e+00      1.25e-02    6.64e-04      4.03e-02    4.21e-02    6.2e-04
 215000      8.55e-01    8.89e-01      1.74e-02    1.23e-02      3.43e-02    3.58e-02    6.1e-04
 216000      8.97e-01    9.63e-01      2.58e-02    2.20e-02      3.57e-02    3.85e-02    6.1e-04
 217000      1.31e+00    6.99e-01      1.98e-03    1.79e-02      5.29e-02    2.79e-02    6.1e-04
 218000      6.65e-01    1.64e+00      1.25e-02    4.85e-04      2.67e-02    6.65e-02    6.1e-04
 219000      9.81e-01    4.68e-01      7.48e-03    1.43e-02      3.97e-02    1.86e-02    6.1e-04
 220000      2.68e+00    6.13e-01      1.09e-02    9.84e-04      1.09e-01    2.50e-02    6.0e-04
 221000      8.95e-01    6.10e-01      7.30e-03    7.42e-03      3.64e-02    2.48e-02    6.0e-04
 222000      3.89e-01    1.06e+00      1.06e-02    2.74e-03      1.56e-02    4.30e-02    6.0e-04
 223000      1.24e+00    1.61e+00      5.40e-04    8.37e-03      5.06e-02    6.53e-02    6.0e-04
 224000      8.27e-01    8.84e-01      3.55e-02    2.26e-02      3.23e-02    3.55e-02    6.0e-04
 225000      6.65e-01    7.08e-01      4.06e-02    2.33e-02      2.49e-02    2.83e-02    6.0e-04
 226000      1.05e+00    1.87e+00      3.53e-03    2.37e-04      4.30e-02    7.67e-02    6.0e-04
 227000      7.91e-01    6.25e-01      1.92e-03    8.76e-03      3.24e-02    2.55e-02    6.0e-04
 228000      6.35e-01    6.10e-01      6.44e-03    5.15e-03      2.60e-02    2.49e-02    6.0e-04
 229000      1.94e+00    1.07e+00      1.71e-02    1.22e-02      7.94e-02    4.36e-02    6.0e-04
 230000      1.34e+00    1.03e+00      1.15e-02    6.12e-03      5.52e-02    4.24e-02    5.9e-04
 231000      6.72e-01    5.20e-01      3.12e-02    1.37e-02      2.63e-02    2.11e-02    5.9e-04
 232000      6.50e-01    9.04e-01      1.01e-02    6.98e-03      2.66e-02    3.72e-02    5.9e-04
 233000      1.37e+00    5.71e-01      1.61e-02    2.97e-02      5.61e-02    2.20e-02    5.9e-04
 234000      9.35e-01    7.31e-01      2.71e-02    3.73e-02      3.78e-02    2.83e-02    5.9e-04
