#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
1400000      4.08e-01    1.77e-01      8.99e-03    5.04e-03      6.23e-02    2.65e-02    4.0e-05
1401000      1.96e-01    1.75e-01      1.66e-03    4.53e-03      3.05e-02    2.64e-02    4.0e-05
1402000      2.13e-01    2.86e-01      1.01e-03    4.33e-03      3.34e-02    4.42e-02    4.0e-05
1403000      8.60e-02    1.37e-01      2.91e-03    3.34e-03      1.27e-02    2.07e-02    4.0e-05
1404000      4.18e-01    1.08e-01      2.31e-03    2.75e-03      6.53e-02    1.63e-02    4.0e-05
1405000      1.66e-01    2.19e-01      2.55e-04    1.02e-03      2.61e-02    3.44e-02    3.9e-05
1406000      4.31e-01    1.43e-01      1.54e-06    2.15e-03      6.79e-02    2.22e-02    3.9e-05
1407000      2.11e-01    1.20e-01      3.01e-03    2.90e-03      3.28e-02    1.83e-02    3.9e-05
1408000      2.20e-01    1.72e-01      2.31e-04    7.50e-04      3.47e-02    2.70e-02    3.9e-05
1409000      2.05e-01    2.55e-01      1.26e-03    1.95e-03      3.22e-02    4.01e-02    3.9e-05
1410000      1.54e-01    1.17e-01      8.59e-03    4.98e-03      2.01e-02    1.67e-02    3.9e-05
1411000      1.73e-01    2.23e-01      5.59e-03    4.44e-03      2.58e-02    3.46e-02    3.9e-05
1412000      1.39e-01    2.26e-01      5.08e-03    1.01e-04      2.04e-02    3.58e-02    3.9e-05
1413000      2.94e-01    1.25e-01      2.51e-04    3.35e-03      4.66e-02    1.91e-02    3.9e-05
1414000      2.54e-01    1.87e-01      6.92e-03    9.87e-04      3.87e-02    2.96e-02    3.9e-05
1415000      2.36e-01    1.62e-01      1.76e-03    2.21e-03      3.75e-02    2.56e-02    3.8e-05
1416000      5.20e-01    1.70e-01      6.16e-04    4.30e-03      8.29e-02    2.62e-02    3.8e-05
1417000      2.90e-01    1.26e-01      8.56e-03    5.64e-03      4.41e-02    1.79e-02    3.8e-05
1418000      4.25e-01    1.53e-01      3.81e-03    4.10e-04      6.75e-02    2.44e-02    3.8e-05
1419000      1.09e-01    1.56e-01      5.34e-03    4.03e-03      1.51e-02    2.39e-02    3.8e-05
1420000      1.27e-01    1.35e-01      2.61e-03    2.71e-03      1.99e-02    2.12e-02    3.8e-05
1421000      2.87e-01    3.81e-01      1.40e-03    6.87e-04      4.59e-02    6.10e-02    3.8e-05
1422000      2.02e-01    2.53e-01      9.44e-04    1.25e-03      3.23e-02    4.05e-02    3.8e-05
1423000      2.83e-01    9.22e-02      5.54e-03    1.36e-03      4.45e-02    1.46e-02    3.8e-05
1424000      1.58e-01    8.10e-02      9.21e-04    1.93e-03      2.53e-02    1.26e-02    3.8e-05
1425000      1.07e-01    3.22e-01      4.58e-03    1.96e-03      1.55e-02    5.18e-02    3.8e-05
1426000      3.74e-01    1.25e-01      4.25e-03    2.71e-03      5.98e-02    1.96e-02    3.8e-05
1427000      5.11e-01    2.76e-01      5.04e-03    8.74e-04      8.18e-02    4.44e-02    3.8e-05
1428000      2.09e-01    1.77e-01      2.59e-04    6.81e-04      3.36e-02    2.85e-02    3.8e-05
1429000      5.21e-01    1.08e-01      7.27e-04    3.92e-03      8.38e-02    1.61e-02    3.8e-05
1430000      1.71e-01    9.13e-02      1.67e-03    2.39e-03      2.76e-02    1.42e-02    3.7e-05
1431000      1.54e-01    1.49e-01      5.15e-03    2.61e-03      2.34e-02    2.37e-02    3.7e-05
1432000      1.17e-01    1.50e-01      1.60e-03    1.10e-03      1.87e-02    2.43e-02    3.7e-05
1433000      1.66e-01    1.89e-01      5.67e-03    2.32e-03      2.51e-02    3.03e-02    3.7e-05
1434000      1.69e-01    3.52e-01      5.10e-05    3.72e-03      2.74e-02    5.67e-02    3.7e-05
1435000      1.13e-01    1.40e-01      6.93e-04    1.58e-03      1.84e-02    2.27e-02    3.7e-05
1436000      5.28e-01    2.55e-01      8.08e-03    2.52e-03      8.50e-02    4.13e-02    3.7e-05
1437000      1.28e-01    8.46e-02      1.85e-03    1.95e-03      2.07e-02    1.34e-02    3.7e-05
1438000      3.56e-01    1.01e-01      8.48e-04    1.35e-03      5.80e-02    1.63e-02    3.7e-05
1439000      1.14e-01    1.57e-01      3.28e-03    2.95e-03      1.78e-02    2.51e-02    3.7e-05
1440000      2.28e-01    2.00e-01      9.25e-04    3.74e-03      3.74e-02    3.21e-02    3.6e-05
1441000      2.23e-01    2.01e-01      3.83e-03    5.32e-04      3.60e-02    3.28e-02    3.6e-05
1442000      1.30e-01    1.83e-01      6.84e-04    9.78e-03      2.13e-02    2.51e-02    3.6e-05
1443000      5.30e-01    1.21e-01      1.19e-03    1.96e-03      8.68e-02    1.95e-02    3.6e-05
1444000      2.33e-01    2.08e-01      8.84e-04    3.83e-03      3.81e-02    3.34e-02    3.6e-05
1445000      2.59e-01    2.22e-01      1.01e-04    5.19e-03      4.27e-02    3.56e-02    3.6e-05
1446000      2.19e-01    1.57e-01      2.11e-03    7.47e-04      3.59e-02    2.58e-02    3.6e-05
1447000      1.76e-01    2.04e-01      7.71e-04    6.91e-03      2.90e-02    3.15e-02    3.6e-05
1448000      1.03e-01    1.36e-01      3.99e-03    1.99e-03      1.56e-02    2.21e-02    3.6e-05
1449000      3.76e-01    1.54e-01      7.73e-03    1.61e-03      6.05e-02    2.53e-02    3.6e-05
1450000      3.78e-01    9.85e-02      5.10e-03    5.38e-04      6.20e-02    1.63e-02    3.5e-05
1451000      1.74e-01    9.84e-02      1.45e-03    3.30e-03      2.87e-02    1.53e-02    3.5e-05
1452000      3.24e-01    8.90e-02      5.27e-03    6.04e-05      5.29e-02    1.47e-02    3.5e-05
1453000      1.08e-01    1.67e-01      7.88e-05    5.18e-04      1.78e-02    2.77e-02    3.5e-05
1454000      6.38e-02    1.55e-01      7.34e-05    7.70e-04      1.06e-02    2.56e-02    3.5e-05
1455000      1.93e-01    2.26e-01      6.47e-03    5.10e-03      3.03e-02    3.67e-02    3.5e-05
1456000      1.38e-01    1.43e-01      8.89e-04    1.85e-03      2.30e-02    2.36e-02    3.5e-05
1457000      1.66e-01    1.02e-01      2.38e-06    3.40e-03      2.77e-02    1.60e-02    3.5e-05
1458000      1.92e-01    3.00e-01      1.09e-03    7.61e-03      3.19e-02    4.82e-02    3.5e-05
1459000      1.25e-01    1.77e-01      1.26e-03    3.63e-03      2.07e-02    2.88e-02    3.5e-05
1460000      1.71e-01    2.61e-01      1.34e-03    6.19e-03      2.86e-02    4.23e-02    3.5e-05
1461000      4.42e-01    7.34e-02      3.74e-03    2.44e-03      7.37e-02    1.16e-02    3.5e-05
1462000      1.14e-01    1.38e-01      3.02e-03    1.90e-03      1.84e-02    2.28e-02    3.5e-05
1463000      1.86e-01    1.31e-01      1.62e-03    2.24e-03      3.10e-02    2.16e-02    3.5e-05
1464000      3.82e-01    1.93e-01      2.84e-03    1.32e-03      6.39e-02    3.22e-02    3.5e-05
1465000      2.18e-01    2.43e-01      1.47e-03    3.74e-04      3.66e-02    4.10e-02    3.4e-05
1466000      2.68e-01    1.24e-01      4.13e-03    1.00e-03      4.46e-02    2.07e-02    3.4e-05
1467000      1.22e-01    2.06e-01      1.92e-03    1.77e-03      2.02e-02    3.46e-02    3.4e-05
1468000      1.93e-01    1.55e-01      3.41e-04    2.12e-04      3.25e-02    2.62e-02    3.4e-05
1469000      3.18e-01    1.17e-01      5.22e-03    1.90e-03      5.29e-02    1.95e-02    3.4e-05
1470000      1.30e-01    1.89e-01      3.18e-03    2.03e-03      2.14e-02    3.19e-02    3.4e-05
1471000      1.27e-01    2.27e-01      4.11e-04    2.95e-03      2.14e-02    3.81e-02    3.4e-05
1472000      5.45e-01    1.01e-01      1.12e-02    1.07e-03      9.03e-02    1.70e-02    3.4e-05
1473000      1.69e-01    2.04e-01      2.11e-03    4.09e-04      2.83e-02    3.45e-02    3.4e-05
1474000      1.12e-01    1.14e-01      2.87e-04    1.69e-03      1.89e-02    1.92e-02    3.4e-05
1475000      5.51e-01    1.10e-01      1.42e-02    1.20e-03      9.05e-02    1.86e-02    3.3e-05
1476000      1.72e-01    1.74e-01      2.23e-03    1.70e-03      2.90e-02    2.94e-02    3.3e-05
1477000      1.13e-01    1.78e-01      3.70e-03    6.97e-03      1.82e-02    2.78e-02    3.3e-05
1478000      2.92e-01    1.84e-01      8.76e-05    1.20e-03      4.97e-02    3.12e-02    3.3e-05
1479000      2.78e-01    1.15e-01      1.72e-02    5.37e-05      3.67e-02    1.96e-02    3.3e-05
1480000      2.94e-01    5.18e-01      2.92e-03    2.31e-03      5.02e-02    8.86e-02    3.3e-05
1481000      1.19e-01    1.71e-01      4.24e-03    2.09e-03      1.89e-02    2.90e-02    3.3e-05
1482000      1.29e-01    8.23e-02      2.16e-03    1.84e-03      2.18e-02    1.37e-02    3.3e-05
1483000      5.27e-01    2.79e-01      9.41e-03    1.93e-03      8.87e-02    4.77e-02    3.3e-05
1484000      2.61e-01    1.96e-01      9.75e-04    4.12e-03      4.47e-02    3.28e-02    3.3e-05
1485000      1.24e-01    2.80e-01      4.61e-04    8.70e-03      2.13e-02    4.57e-02    3.3e-05
1486000      2.13e-01    1.76e-01      1.85e-03    2.41e-04      3.65e-02    3.03e-02    3.3e-05
1487000      9.42e-02    6.87e-02      2.78e-03    4.08e-04      1.55e-02    1.18e-02    3.3e-05
1488000      5.01e-01    1.52e-01      2.93e-03    2.35e-03      8.62e-02    2.59e-02    3.3e-05
1489000      2.84e-01    2.24e-01      5.55e-03    2.91e-03      4.80e-02    3.82e-02    3.3e-05
1490000      2.65e-01    2.11e-01      6.76e-04    3.42e-03      4.58e-02    3.61e-02    3.2e-05
1491000      6.89e-02    8.41e-02      2.77e-04    1.13e-03      1.19e-02    1.44e-02    3.2e-05
1492000      7.41e-02    1.42e-01      2.30e-03    1.74e-03      1.22e-02    2.45e-02    3.2e-05
1493000      1.54e-01    9.76e-02      2.00e-03    5.09e-04      2.64e-02    1.69e-02    3.2e-05
1494000      8.65e-02    1.62e-01      1.17e-03    3.23e-04      1.48e-02    2.81e-02    3.2e-05
1495000      2.08e-01    1.66e-01      1.73e-03    1.12e-03      3.60e-02    2.89e-02    3.2e-05
1496000      1.85e-01    1.26e-01      2.63e-03    9.73e-04      3.18e-02    2.19e-02    3.2e-05
1497000      1.80e-01    9.75e-02      3.14e-03    2.91e-03      3.09e-02    1.62e-02    3.2e-05
1498000      1.54e-01    4.33e-01      8.86e-04    1.39e-03      2.69e-02    7.54e-02    3.2e-05
1499000      2.31e-01    1.57e-01      4.11e-04    9.42e-04      4.02e-02    2.74e-02    3.2e-05
1500000      1.65e-01    1.34e-01      1.93e-03    1.54e-04      2.87e-02    2.34e-02    3.2e-05
1501000      2.15e-01    2.20e-01      7.40e-03    7.57e-03      3.52e-02    3.60e-02    3.2e-05
1502000      2.16e-01    1.67e-01      2.13e-03    2.14e-03      3.77e-02    2.90e-02    3.2e-05
1503000      1.84e-01    1.44e-01      2.34e-03    5.09e-04      3.19e-02    2.52e-02    3.2e-05
1504000      1.12e-01    1.68e-01      6.53e-03    3.06e-03      1.58e-02    2.88e-02    3.2e-05
1505000      1.65e-01    1.33e-01      3.54e-03    2.43e-04      2.83e-02    2.34e-02    3.1e-05
1506000      1.19e-01    1.61e-01      1.53e-03    3.10e-03      2.09e-02    2.79e-02    3.1e-05
1507000      1.03e-01    3.56e-01      2.10e-03    4.08e-03      1.77e-02    6.22e-02    3.1e-05
1508000      1.98e-01    1.31e-01      9.03e-04    2.92e-03      3.48e-02    2.24e-02    3.1e-05
1509000      1.71e-01    8.47e-02      3.26e-04    2.74e-03      3.02e-02    1.41e-02    3.1e-05
1510000      3.89e-01    2.22e-01      3.32e-03    2.47e-03      6.87e-02    3.90e-02    3.1e-05
1511000      1.59e-01    2.22e-01      1.26e-04    1.45e-03      2.81e-02    3.92e-02    3.1e-05
1512000      1.83e-01    1.24e-01      1.03e-03    5.59e-04      3.23e-02    2.19e-02    3.1e-05
1513000      2.43e-01    1.68e-01      5.92e-03    3.78e-03      4.17e-02    2.89e-02    3.1e-05
1514000      1.54e-01    2.23e-01      5.23e-04    1.88e-03      2.73e-02    3.93e-02    3.1e-05
1515000      9.81e-02    1.35e-01      3.68e-04    6.18e-04      1.75e-02    2.41e-02    3.1e-05
1516000      1.79e-01    1.17e-01      3.18e-04    1.64e-03      3.19e-02    2.06e-02    3.1e-05
1517000      1.22e-01    1.52e-01      2.76e-04    6.39e-03      2.17e-02    2.44e-02    3.1e-05
1518000      8.63e-02    1.83e-01      3.31e-04    2.36e-03      1.54e-02    3.22e-02    3.1e-05
1519000      4.14e-01    1.44e-01      2.06e-03    3.06e-04      7.36e-02    2.57e-02    3.1e-05
1520000      1.81e-01    1.00e-01      6.45e-04    2.15e-04      3.24e-02    1.79e-02    3.0e-05
1521000      1.62e-01    1.28e-01      9.89e-04    6.32e-04      2.89e-02    2.30e-02    3.0e-05
1522000      1.57e-01    9.78e-02      2.32e-03    1.45e-04      2.77e-02    1.75e-02    3.0e-05
1523000      1.58e-01    5.28e-02      1.44e-04    1.93e-03      2.83e-02    8.78e-03    3.0e-05
1524000      1.09e-01    1.75e-01      4.65e-04    1.94e-03      1.94e-02    3.11e-02    3.0e-05
1525000      2.08e-01    8.23e-02      1.24e-03    3.53e-03      3.74e-02    1.33e-02    3.0e-05
1526000      1.28e-01    2.10e-01      1.71e-03    3.45e-04      2.29e-02    3.78e-02    3.0e-05
1527000      1.62e-01    1.02e-01      2.18e-03    3.13e-03      2.90e-02    1.75e-02    3.0e-05
1528000      2.53e-01    7.25e-02      3.43e-05    1.88e-03      4.56e-02    1.26e-02    3.0e-05
1529000      5.44e-02    1.55e-01      2.84e-03    4.07e-03      8.29e-03    2.69e-02    3.0e-05
1530000      1.08e-01    6.52e-02      1.25e-03    7.07e-04      1.95e-02    1.17e-02    3.0e-05
1531000      2.25e-01    5.79e-02      1.69e-03    6.49e-04      4.07e-02    1.04e-02    3.0e-05
1532000      2.71e-01    1.45e-01      4.98e-03    9.33e-04      4.81e-02    2.63e-02    3.0e-05
1533000      1.35e-01    2.47e-01      9.27e-03    1.84e-03      1.74e-02    4.46e-02    3.0e-05
1534000      9.26e-02    2.05e-01      6.60e-04    1.31e-04      1.67e-02    3.72e-02    3.0e-05
1535000      3.34e-01    1.14e-01      6.50e-03    1.70e-04      5.96e-02    2.07e-02    2.9e-05
1536000      1.25e-01    1.67e-01      1.49e-03    3.58e-04      2.26e-02    3.04e-02    2.9e-05
1537000      2.16e-01    1.51e-01      1.27e-03    6.70e-03      3.93e-02    2.45e-02    2.9e-05
1538000      2.40e-01    1.12e-01      5.19e-03    1.60e-03      4.27e-02    2.02e-02    2.9e-05
1539000      1.08e-01    1.52e-01      3.60e-03    3.65e-03      1.84e-02    2.69e-02    2.9e-05
1540000      2.45e-01    1.59e-01      3.87e-03    1.10e-03      4.43e-02    2.90e-02    2.9e-05
1541000      2.93e-01    1.31e-01      8.77e-03    1.30e-03      5.12e-02    2.39e-02    2.9e-05
1542000      6.63e-02    9.04e-02      1.18e-03    3.14e-03      1.19e-02    1.55e-02    2.9e-05
1543000      1.80e-01    9.32e-02      2.37e-03    4.18e-04      3.27e-02    1.70e-02    2.9e-05
1544000      7.45e-02    1.47e-01      7.03e-04    2.28e-04      1.36e-02    2.69e-02    2.9e-05
1545000      1.68e-01    3.23e-01      5.54e-03    4.25e-03      2.90e-02    5.89e-02    2.9e-05
1546000      9.21e-02    1.78e-01      3.93e-04    1.83e-03      1.69e-02    3.27e-02    2.9e-05
1547000      1.98e-01    2.25e-01      4.74e-03    5.76e-03      3.53e-02    4.00e-02    2.9e-05
1548000      1.13e-01    1.13e-01      2.22e-03    2.69e-03      2.05e-02    2.01e-02    2.9e-05
1549000      1.93e-01    2.26e-01      1.39e-04    5.97e-03      3.55e-02    4.01e-02    2.9e-05
1550000      1.49e-01    4.06e-01      4.28e-04    4.94e-03      2.75e-02    7.46e-02    2.8e-05
1551000      1.21e-01    1.70e-01      3.62e-03    3.11e-03      2.13e-02    3.09e-02    2.8e-05
1552000      1.45e-01    9.63e-02      2.56e-03    1.84e-03      2.65e-02    1.75e-02    2.8e-05
1553000      1.63e-01    5.99e-02      1.41e-03    5.09e-04      3.01e-02    1.11e-02    2.8e-05
1554000      1.25e-01    1.77e-01      2.70e-03    2.15e-03      2.25e-02    3.26e-02    2.8e-05
1555000      4.95e-01    1.71e-01      8.60e-03    3.74e-03      9.07e-02    3.11e-02    2.8e-05
1556000      2.26e-01    4.67e-01      2.15e-03    2.47e-03      4.18e-02    8.68e-02    2.8e-05
1557000      9.37e-02    1.10e-01      2.63e-03    1.63e-03      1.67e-02    2.03e-02    2.8e-05
1558000      4.51e-01    1.04e-01      1.37e-02    4.89e-03      7.97e-02    1.70e-02    2.8e-05
1559000      1.99e-01    2.62e-01      2.00e-03    1.16e-03      3.70e-02    4.87e-02    2.8e-05
1560000      9.43e-02    1.61e-01      3.42e-03    4.29e-03      1.64e-02    2.90e-02    2.8e-05
1561000      1.58e-01    1.08e-01      2.55e-03    1.15e-03      2.92e-02    2.01e-02    2.8e-05
1562000      1.24e-01    9.46e-02      5.11e-03    2.05e-03      2.11e-02    1.73e-02    2.8e-05
1563000      1.23e-01    3.22e-01      3.72e-03    7.06e-03      2.18e-02    5.87e-02    2.8e-05
1564000      9.10e-02    4.64e-02      7.01e-04    2.87e-03      1.70e-02    6.72e-03    2.8e-05
1565000      1.74e-01    1.20e-01      2.81e-03    1.40e-03      3.24e-02    2.24e-02    2.7e-05
1566000      1.21e-01    1.38e-01      4.03e-05    8.89e-04      2.28e-02    2.59e-02    2.7e-05
1567000      1.64e-01    1.06e-01      1.34e-03    2.67e-04      3.08e-02    1.99e-02    2.7e-05
1568000      6.15e-02    2.85e-01      2.65e-03    1.45e-03      1.04e-02    5.36e-02    2.7e-05
1569000      1.69e-01    1.69e-01      7.75e-04    2.64e-03      3.19e-02    3.14e-02    2.7e-05
1570000      8.42e-02    7.24e-02      1.83e-03    9.10e-05      1.55e-02    1.37e-02    2.7e-05
1571000      2.01e-01    1.74e-01      2.02e-04    2.17e-03      3.80e-02    3.27e-02    2.7e-05
1572000      1.84e-01    3.23e-01      2.02e-03    3.25e-03      3.46e-02    6.09e-02    2.7e-05
1573000      2.50e-01    1.03e-01      3.22e-03    2.73e-03      4.70e-02    1.87e-02    2.7e-05
1574000      1.02e-01    8.45e-02      1.45e-03    8.41e-04      1.90e-02    1.59e-02    2.7e-05
1575000      1.16e-01    9.22e-02      3.44e-03    2.98e-03      2.09e-02    1.66e-02    2.7e-05
1576000      1.70e-01    2.43e-01      6.66e-05    3.01e-03      3.24e-02    4.59e-02    2.7e-05
1577000      1.55e-01    1.52e-01      8.56e-04    8.36e-04      2.95e-02    2.88e-02    2.7e-05
1578000      1.06e-01    1.42e-01      6.02e-04    1.01e-04      2.02e-02    2.71e-02    2.7e-05
1579000      2.88e-01    1.66e-01      3.51e-03    1.13e-03      5.44e-02    3.16e-02    2.7e-05
1580000      2.37e-01    8.48e-02      5.35e-03    1.81e-03      4.42e-02    1.58e-02    2.6e-05
1581000      7.78e-02    1.35e-01      2.58e-04    2.74e-04      1.49e-02    2.58e-02    2.6e-05
1582000      1.88e-01    4.75e-02      3.60e-04    5.12e-04      3.61e-02    9.04e-03    2.6e-05
1583000      1.45e-01    1.65e-01      1.43e-03    1.24e-03      2.75e-02    3.15e-02    2.6e-05
1584000      1.58e-01    1.13e-01      4.49e-03    7.61e-05      2.90e-02    2.17e-02    2.6e-05
1585000      1.67e-01    1.38e-01      2.07e-03    2.29e-03      3.20e-02    2.61e-02    2.6e-05
1586000      9.53e-02    1.65e-01      7.36e-04    8.01e-04      1.83e-02    3.18e-02    2.6e-05
1587000      5.61e-02    2.20e-01      1.81e-03    1.48e-04      1.02e-02    4.24e-02    2.6e-05
1588000      1.98e-01    9.14e-02      1.35e-03    1.06e-03      3.80e-02    1.75e-02    2.6e-05
1589000      2.53e-01    1.19e-01      3.60e-05    1.36e-03      4.86e-02    2.28e-02    2.6e-05
1590000      1.20e-01    1.33e-01      1.11e-03    9.07e-04      2.32e-02    2.57e-02    2.6e-05
1591000      1.14e-01    1.55e-01      1.05e-03    3.89e-03      2.20e-02    2.91e-02    2.6e-05
1592000      2.54e-01    7.88e-02      3.50e-03    9.33e-04      4.87e-02    1.51e-02    2.6e-05
1593000      1.35e-01    1.48e-01      6.40e-03    4.52e-03      2.28e-02    2.73e-02    2.6e-05
1594000      1.10e-01    1.06e-01      2.97e-03    2.71e-03      2.05e-02    1.98e-02    2.6e-05
1595000      1.87e-01    7.59e-02      1.49e-03    1.76e-03      3.63e-02    1.43e-02    2.5e-05
1596000      4.80e-02    1.21e-01      3.15e-03    3.18e-03      6.92e-03    2.27e-02    2.5e-05
1597000      1.01e-01    7.92e-02      3.32e-03    9.58e-04      1.86e-02    1.53e-02    2.5e-05
1598000      5.09e-01    2.27e-01      1.26e-02    1.34e-03      9.59e-02    4.42e-02    2.5e-05
1599000      3.04e-01    1.72e-01      1.53e-04    3.66e-03      5.92e-02    3.27e-02    2.5e-05
1600000      9.14e-02    1.05e-01      3.53e-03    1.36e-03      1.64e-02    2.03e-02    2.5e-05
1601000      2.26e-01    9.70e-02      6.68e-03    3.52e-03      4.22e-02    1.76e-02    2.5e-05
1602000      1.81e-01    1.31e-01      2.00e-03    5.86e-04      3.52e-02    2.56e-02    2.5e-05
1603000      9.20e-02    1.35e-01      7.00e-03    8.75e-04      1.13e-02    2.64e-02    2.5e-05
1604000      2.98e-01    1.77e-01      3.33e-03    5.01e-03      5.79e-02    3.31e-02    2.5e-05
1605000      1.16e-01    1.53e-01      3.18e-03    5.12e-03      2.19e-02    2.82e-02    2.5e-05
1606000      2.28e-01    2.00e-01      4.04e-03    2.56e-03      4.42e-02    3.90e-02    2.5e-05
1607000      1.49e-01    9.36e-02      3.00e-03    2.63e-04      2.86e-02    1.84e-02    2.5e-05
1608000      7.86e-02    5.78e-02      7.24e-04    1.37e-04      1.54e-02    1.14e-02    2.5e-05
1609000      1.03e-01    1.95e-01      4.06e-03    7.27e-03      1.85e-02    3.55e-02    2.5e-05
1610000      1.20e-01    1.48e-01      1.93e-03    4.90e-03      2.35e-02    2.75e-02    2.5e-05
1611000      1.41e-01    1.89e-01      1.19e-03    9.51e-04      2.78e-02    3.74e-02    2.5e-05
1612000      1.16e-01    1.89e-01      2.24e-03    5.39e-03      2.25e-02    3.57e-02    2.5e-05
1613000      1.70e-01    1.95e-01      2.85e-03    4.04e-03      3.32e-02    3.76e-02    2.5e-05
1614000      1.29e-01    1.06e-01      1.19e-03    1.96e-03      2.53e-02    2.06e-02    2.5e-05
1615000      1.95e-01    1.28e-01      5.73e-03    1.10e-03      3.69e-02    2.54e-02    2.4e-05
1616000      1.04e-01    8.98e-02      1.10e-03    2.70e-04      2.05e-02    1.79e-02    2.4e-05
1617000      1.18e-01    1.87e-01      7.93e-04    2.19e-03      2.34e-02    3.70e-02    2.4e-05
1618000      9.90e-02    1.28e-01      2.21e-05    2.84e-03      1.97e-02    2.48e-02    2.4e-05
1619000      4.50e-01    1.65e-01      7.28e-03    5.47e-03      8.84e-02    3.08e-02    2.4e-05
1620000      1.87e-01    1.91e-01      3.86e-03    6.05e-03      3.66e-02    3.61e-02    2.4e-05
1621000      2.08e-01    1.65e-01      1.02e-03    3.60e-04      4.15e-02    3.31e-02    2.4e-05
1622000      5.15e-01    2.08e-01      3.18e-03    1.41e-03      1.03e-01    4.16e-02    2.4e-05
1623000      4.77e-01    1.01e-01      1.07e-02    2.93e-03      9.30e-02    1.94e-02    2.4e-05
1624000      1.52e-01    4.43e-02      2.10e-03    3.73e-04      3.02e-02    8.84e-03    2.4e-05
1625000      2.19e-01    1.47e-01      5.77e-04    4.46e-05      4.40e-02    2.96e-02    2.4e-05
1626000      2.04e-01    1.14e-01      1.61e-03    2.57e-03      4.09e-02    2.24e-02    2.4e-05
1627000      1.75e-01    1.69e-01      7.46e-04    2.45e-03      3.52e-02    3.36e-02    2.4e-05
1628000      3.15e-01    1.34e-01      7.19e-03    2.56e-04      6.17e-02    2.69e-02    2.4e-05
1629000      1.73e-01    1.27e-01      2.57e-03    1.64e-03      3.43e-02    2.54e-02    2.4e-05
1630000      6.06e-02    1.26e-01      1.25e-03    5.15e-04      1.20e-02    2.55e-02    2.3e-05
1631000      2.91e-01    1.44e-01      9.62e-04    4.48e-04      5.89e-02    2.92e-02    2.3e-05
1632000      1.54e-01    9.41e-02      1.11e-03    2.27e-03      3.12e-02    1.85e-02    2.3e-05
1633000      1.12e-01    1.48e-01      5.12e-03    2.45e-03      2.00e-02    2.96e-02    2.3e-05
1634000      4.23e-01    3.18e-01      9.00e-03    1.48e-03      8.36e-02    6.43e-02    2.3e-05
1635000      2.05e-01    1.70e-01      2.34e-03    1.46e-03      4.14e-02    3.44e-02    2.3e-05
1636000      1.04e-01    1.40e-01      6.11e-04    1.78e-03      2.11e-02    2.83e-02    2.3e-05
1637000      2.43e-01    9.30e-02      5.82e-04    2.91e-04      4.94e-02    1.89e-02    2.3e-05
1638000      1.28e-01    1.40e-01      5.75e-04    6.35e-04      2.59e-02    2.85e-02    2.3e-05
1639000      2.21e-01    1.67e-01      3.45e-03    3.61e-03      4.43e-02    3.30e-02    2.3e-05
1640000      6.69e-02    8.33e-02      2.78e-03    3.65e-04      1.24e-02    1.70e-02    2.3e-05
1641000      2.32e-01    1.46e-01      2.43e-03    4.45e-03      4.71e-02    2.84e-02    2.3e-05
1642000      1.27e-01    1.58e-01      7.00e-04    3.03e-03      2.60e-02    3.18e-02    2.3e-05
1643000      1.67e-01    1.63e-01      1.71e-03    1.74e-04      3.41e-02    3.34e-02    2.3e-05
1644000      4.04e-01    1.05e-01      4.83e-03    6.32e-04      8.21e-02    2.15e-02    2.3e-05
1645000      2.32e-01    9.74e-02      9.90e-04    1.13e-03      4.78e-02    1.99e-02    2.3e-05
1646000      1.37e-01    1.78e-01      4.64e-04    1.09e-03      2.81e-02    3.66e-02    2.3e-05
1647000      1.32e-01    8.63e-02      2.07e-03    4.35e-04      2.67e-02    1.77e-02    2.3e-05
1648000      7.61e-02    1.04e-01      8.92e-04    1.40e-03      1.56e-02    2.12e-02    2.3e-05
1649000      9.78e-02    1.50e-01      4.50e-04    1.70e-03      2.01e-02    3.07e-02    2.3e-05
1650000      1.30e-01    1.56e-01      2.32e-03    3.55e-03      2.64e-02    3.13e-02    2.2e-05
1651000      2.03e-01    2.06e-01      2.83e-03    4.04e-03      4.16e-02    4.17e-02    2.2e-05
1652000      5.70e-02    1.82e-01      1.15e-03    1.20e-03      1.15e-02    3.75e-02    2.2e-05
1653000      1.58e-01    1.87e-01      1.27e-03    4.36e-04      3.25e-02    3.87e-02    2.2e-05
1654000      1.00e-01    1.44e-01      8.98e-04    3.83e-04      2.07e-02    2.98e-02    2.2e-05
1655000      1.32e-01    1.25e-01      2.57e-03    6.21e-03      2.68e-02    2.24e-02    2.2e-05
1656000      8.51e-02    1.22e-01      1.03e-03    1.97e-04      1.76e-02    2.53e-02    2.2e-05
1657000      1.86e-01    1.59e-01      8.48e-04    8.13e-04      3.86e-02    3.30e-02    2.2e-05
1658000      4.07e-01    9.79e-02      3.69e-03    2.23e-03      8.42e-02    1.98e-02    2.2e-05
1659000      2.92e-01    1.48e-01      1.20e-03    1.01e-03      6.06e-02    3.08e-02    2.2e-05
1660000      5.72e-02    4.84e-02      2.53e-03    2.67e-03      1.06e-02    8.33e-03    2.2e-05
1661000      7.45e-02    1.11e-01      3.66e-04    3.90e-04      1.56e-02    2.33e-02    2.2e-05
